PKD_Code,Industry_Name,Klasyfikacja,Lending Opp (2026),Stability (Now),Stability (2026),Transformation (Now),Transformation (2026),Est. Revenue,Est. Growth,Est. Risk %
03.,RYBACTWO,🛡️ Bezpieczne Przystanie,70.44414556447418,63.46527794952777,74.01693533975671,51.739999999999995,52.09342857142873,456.40928571429686,,1.0327518104016171
02.,LEŚNICTWO I POZYSKIWANIE DREWNA,🛡️ Bezpieczne Przystanie,67.24737998837269,52.12484056950266,66.02502139950298,51.739999999999995,52.09342857142873,18603.918214286212,,0.960868092718755
58.,DZIAŁALNOŚĆ WYDAWNICZA,⚠️ Wysokie Ryzyko (2026),66.01951665632782,67.78112506628618,61.70046040158136,66.53,69.13904761905201,11707.469105263124,0.0372461511748694,3.477529405053133
62.,DZIAŁALNOŚĆ ZWIĄZANA Z OPROGRAMOWANIEM I DORADZTWEM W ZAKRESIE INFORMATYKI ORAZ DZIALALNOŚĆ POWIĄZANA,🌟 Liderzy Przyszłości,65.55020387456285,59.150280537182454,69.3776656318055,66.53,69.13904761905201,84011.21281955019,0.176952536533034,2.493132733217635
42.,ROBOTY ZWIĄZANE Z BUDOWĄ OBIEKTÓW INŻYNIERII LĄDOWEJ I WODNEJ,🌟 Liderzy Przyszłości,62.687794360039504,53.814147198030305,54.9766001703627,78.41,83.44390476190951,93653.84717293363,0.04067718355379313,2.0412565227587436
51.,TRANSPORT LOTNICZY,🛡️ Bezpieczne Przystanie,61.3250965201744,61.453368301242605,65.53804954639003,55.25,56.35824324324319,14899.31772112893,,1.2620873185256727
63.,DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFORMACJI,⚠️ Wysokie Ryzyko (2026),61.30645579894853,72.1766202022043,63.56934763661955,66.53,69.13904761905201,26446.380827067886,0.2034339314107425,6.5830403215892375
52.,MAGAZYNOWANIE I DZIAŁALNOŚĆ USŁUGOWA WSPOMAGAJĄCA TRANSPORT,⚠️ Wysokie Ryzyko (2026),60.30374657286131,54.36244042065789,60.383908869425454,55.25,56.34495238095318,99592.29012781754,0.11104350690202097,2.593108111916081
41.,ROBOTY BUDOWLANE ZWIĄZANE ZE WZNOSZENIEM BUDYNKÓW,⚠️ Wysokie Ryzyko (2026),59.36996284252185,44.89307700383135,51.705329974072,78.41,83.44390476190951,104378.86698496342,0.03873744794022471,5.852337630839656
59.,"DZIAŁALNOŚĆ ZWIĄZANA Z PRODUKCJĄ FILMÓW, NAGRAŃ WIDEO, PROGRAMÓW TELEWIZYJNYCH, NAGRAŃ DŹWIĘKOWYCH I MUZYCZNYCH",⚠️ Wysokie Ryzyko (2026),59.349703541342706,52.40496528329695,57.87032105500507,66.53,69.13904761905201,5288.445421052631,0.13662382850331056,8.864699933785232
